MGI Gene/Marker ID,mouseSymbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1928396,Pdcd10,programmed cell death 10,3,,intrinsic apoptotic signaling pathway in response to hydrogen peroxide,,,ISO,Q9BUL8 ,J:164563 
MGI:1928396,Pdcd10,programmed cell death 10,3,,response to hydrogen peroxide,,,ISO,Q9BUL8 ,J:164563 
MGI:1277116,Pde8a,phosphodiesterase 8A,7,,negative regulation of hydrogen peroxide-induced cell death,,,ISO,O60658 ,J:164563 
MGI:97530,Pdgfra,"platelet derived growth factor receptor, alpha polypeptide",5,,cellular response to reactive oxygen species,,,ISO,P16234 ,J:207686 
MGI:97531,Pdgfrb,"platelet derived growth factor receptor, beta polypeptide",18,,cellular response to hydrogen peroxide,,,IMP,,J:202378 
MGI:1926119,Pdk1,"pyruvate dehydrogenase kinase, isoenzyme 1",2,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,ISO,Q15118 ,J:164563 
MGI:1343087,Pdk2,"pyruvate dehydrogenase kinase, isoenzyme 2",11,,cellular response to reactive oxygen species,,,ISO,Q15119 ,J:164563 
MGI:1916193,Pink1,PTEN induced putative kinase 1,4,,cellular response to oxidative stress,happens in corpus striatum,,IMP,,J:140335 
MGI:1916193,Pink1,PTEN induced putative kinase 1,4,,cellular response to oxidative stress,,,ISO,Q9BXM7 ,J:164563 
MGI:1916193,Pink1,PTEN induced putative kinase 1,4,,negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway,,,ISO,Q9BXM7 ,J:164563 
MGI:1916193,Pink1,PTEN induced putative kinase 1,4,,negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide,,,ISO,Q9BXM7 ,J:164563 
MGI:1916193,Pink1,PTEN induced putative kinase 1,4,,negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide,,,ISO,RGD:1305769 ,J:155856 
MGI:1916193,Pink1,PTEN induced putative kinase 1,4,,negative regulation of oxidative stress-induced cell death,,,ISO,Q9BXM7 ,J:164563 
MGI:1916193,Pink1,PTEN induced putative kinase 1,4,,regulation of cellular response to oxidative stress,,,ISO,Q9BXM7 ,J:164563 
MGI:1916193,Pink1,PTEN induced putative kinase 1,4,,response to oxidative stress,,,ISO,Q9BXM7 ,J:164563 
MGI:2444945,Pla2g3,"phospholipase A2, group III",11,,age-dependent response to oxidative stress involved in chronological cell aging,"happens in astrocyte,happens in telencephalon",,IEP,,J:243822 
MGI:102468,Pla2r1,phospholipase A2 receptor 1,2,,oxidative stress-induced premature senescence,,,ISO,Q13018 ,J:164563 
MGI:892877,Pld2,phospholipase D2,11,,response to hydrogen peroxide,,,ISO,RGD:3350 ,J:155856 
MGI:2442213,Plekha1,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1",7,,cellular response to hydrogen peroxide,,,ISO,Q9HB21 ,J:164563 
MGI:109604,Plk3,polo like kinase 3,4,,response to reactive oxygen species,,,ISO,Q9H4B4 ,J:164563 
MGI:104662,Pml,promyelocytic leukemia,9,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,IMP,,J:166717 
MGI:104662,Pml,promyelocytic leukemia,9,,negative regulation of translation in response to oxidative stress,,,ISO,P29590 ,J:164563 
MGI:1891698,Pnkp,polynucleotide kinase 3'- phosphatase,7,,response to oxidative stress,,,ISO,Q96T60 ,J:164563 
MGI:1918951,Pnpt1,polyribonucleotide nucleotidyltransferase 1,11,,cellular response to oxidative stress,,,ISO,Q8TCS8 ,J:164563 
MGI:1342774,Ppargc1a,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha",5,,cellular response to oxidative stress,happens in neuron,,IMP,,J:162076 
MGI:2444934,Ppargc1b,"peroxisome proliferative activated receptor, gamma, coactivator 1 beta",18,,cellular response to reactive oxygen species,,,IDA,,J:146763 
MGI:2145814,Ppif,peptidylprolyl isomerase F (cyclophilin F),14,,cellular response to hydrogen peroxide,,,IBA,PTN002594555 ,J:265628 
MGI:2145814,Ppif,peptidylprolyl isomerase F (cyclophilin F),14,,cellular response to hydrogen peroxide,,,IMP,,J:97660 J:97673 J:101149 J:186254 
MGI:2145814,Ppif,peptidylprolyl isomerase F (cyclophilin F),14,,cellular response to hydrogen peroxide,,,ISO,P30405 ,J:164563 
MGI:2145814,Ppif,peptidylprolyl isomerase F (cyclophilin F),14,,response to oxidative stress,has the participant fibroblast,,IGI,MGI:98834 ,J:186254 
MGI:2444211,Ppp1r15b,"protein phosphatase 1, regulatory subunit 15B",1,,response to hydrogen peroxide,,,IMP,,J:86710 
MGI:2444211,Ppp1r15b,"protein phosphatase 1, regulatory subunit 15B",1,,response to oxidative stress,,,IDA,,J:86710 
MGI:2444211,Ppp1r15b,"protein phosphatase 1, regulatory subunit 15B",1,,response to oxidative stress,,,IMP,,J:86710 
MGI:1321161,Ppp2cb,"protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform",8,,response to hydrogen peroxide,,,IMP,,J:116445 
MGI:99523,Prdx1,peroxiredoxin 1,4,,removal of superoxide radicals,,,IBA,PTN000743557 ,J:265628 
MGI:99523,Prdx1,peroxiredoxin 1,4,,removal of superoxide radicals,,,IMP,,J:116929 
MGI:99523,Prdx1,peroxiredoxin 1,4,,removal of superoxide radicals,,,IMP,MGI:3611932 ,J:104078 
MGI:99523,Prdx1,peroxiredoxin 1,4,,response to oxidative stress,,,IBA,PTN000073874 ,J:265628 
MGI:99523,Prdx1,peroxiredoxin 1,4,,response to oxidative stress,,,IDA,,J:14699 
MGI:99523,Prdx1,peroxiredoxin 1,4,,response to oxidative stress,"has the participant interdigital region between hindlimb digits 1 and 2 mesenchyme,has the participant mesenchymal stem cell",,IMP,,J:98374 
MGI:99523,Prdx1,peroxiredoxin 1,4,,response to reactive oxygen species,,,IMP,MGI:2670538 ,J:84677 
MGI:99523,Prdx1,peroxiredoxin 1,4,,response to reactive oxygen species,,,IMP,MGI:3611932 ,J:103909 J:104078 
MGI:109486,Prdx2,peroxiredoxin 2,8,,cellular response to oxidative stress,,,ISO,P32119 ,J:164563 
MGI:109486,Prdx2,peroxiredoxin 2,8,,removal of superoxide radicals,,,IBA,PTN000743557 ,J:265628 
MGI:109486,Prdx2,peroxiredoxin 2,8,,removal of superoxide radicals,,,IMP,,J:166919 
MGI:109486,Prdx2,peroxiredoxin 2,8,,removal of superoxide radicals,,,ISO,P32119 ,J:164563 
MGI:109486,Prdx2,peroxiredoxin 2,8,,response to oxidative stress,,,IBA,PTN000073874 ,J:265628 
MGI:109486,Prdx2,peroxiredoxin 2,8,,response to oxidative stress,,,ISO,RGD:3838 ,J:155856 
MGI:109486,Prdx2,peroxiredoxin 2,8,,response to oxidative stress,,,ISO,P32119 ,J:164563 
MGI:109486,Prdx2,peroxiredoxin 2,8,,response to oxidative stress,,,TAS,,J:39372 
MGI:88034,Prdx3,peroxiredoxin 3,19,,cellular response to oxidative stress,,,IBA,PTN002449977 ,J:265628 
MGI:88034,Prdx3,peroxiredoxin 3,19,,cellular response to oxidative stress,,,ISO,P30048 ,J:164563 
MGI:88034,Prdx3,peroxiredoxin 3,19,,cellular response to reactive oxygen species,,,ISO,P30048 ,J:164563 
MGI:88034,Prdx3,peroxiredoxin 3,19,,response to hydrogen peroxide,,,ISO,P30048 ,J:164563 
MGI:88034,Prdx3,peroxiredoxin 3,19,,response to oxidative stress,,,IMP,MGI:3700138 ,J:118595 J:137348 
MGI:88034,Prdx3,peroxiredoxin 3,19,,response to oxidative stress,,,ISO,P30048 ,J:164563 
MGI:1859815,Prdx4,peroxiredoxin 4,X,,response to oxidative stress,,,IBA,PTN000073874 ,J:265628 
MGI:1859821,Prdx5,peroxiredoxin 5,19,,cellular response to oxidative stress,,,IBA,PTN001625584 ,J:265628 
MGI:1859821,Prdx5,peroxiredoxin 5,19,,cellular response to reactive oxygen species,,,ISO,P30044 ,J:164563 
MGI:1859821,Prdx5,peroxiredoxin 5,19,,response to oxidative stress,,,ISO,P30044 ,J:164563 
MGI:1859821,Prdx5,peroxiredoxin 5,19,,response to oxidative stress,,,ISS,P30044-2 ,J:58008 
MGI:894320,Prdx6,peroxiredoxin 6,1,,response to oxidative stress,,,ISO,P30041 ,J:164563 
MGI:894320,Prdx6,peroxiredoxin 6,1,,response to reactive oxygen species,,,IMP,MGI:2668338 ,J:84376 
MGI:2145955,Prkaa1,"protein kinase, AMP-activated, alpha 1 catalytic subunit",15,,cellular response to oxidative stress,positively regulates stress granule assembly,,IGI,Q8BRK8 ,J:259116 
MGI:2145955,Prkaa1,"protein kinase, AMP-activated, alpha 1 catalytic subunit",15,,response to hydrogen peroxide,,,IMP,,J:163548 
MGI:1336173,Prkaa2,"protein kinase, AMP-activated, alpha 2 catalytic subunit",4,,cellular response to oxidative stress,positively regulates stress granule assembly,,IGI,Q5EG47 ,J:259116 
MGI:97595,Prkca,"protein kinase C, alpha",11,,response to reactive oxygen species,,,ISO,RGD:3395 ,J:155856 
MGI:97598,Prkcd,"protein kinase C, delta",14,,cellular response to hydrogen peroxide,,,ISO,Q05655 ,J:164563 
MGI:97598,Prkcd,"protein kinase C, delta",14,,cellular response to hydroperoxide,,,ISO,Q05655 ,J:164563 
MGI:97598,Prkcd,"protein kinase C, delta",14,,cellular response to oxidative stress,,,ISO,RGD:67383 ,J:155856 
MGI:97598,Prkcd,"protein kinase C, delta",14,,response to oxidative stress,,,ISO,RGD:67383 ,J:155856 
MGI:99879,Prkd1,protein kinase D1,12,,cellular response to hydroperoxide,,,ISO,Q15139 ,J:164563 
MGI:99879,Prkd1,protein kinase D1,12,,cellular response to oxidative stress,,,ISO,Q15139 ,J:164563 
MGI:1355296,Prkn,parkin RBR E3 ubiquitin protein ligase,17,,negative regulation of oxidative stress-induced neuron death,,,ISO,RGD:61797 ,J:155856 
MGI:1355296,Prkn,parkin RBR E3 ubiquitin protein ligase,17,,negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,"happens in primary neuron,happens in brain",,IMP,,J:204747 
MGI:1355296,Prkn,parkin RBR E3 ubiquitin protein ligase,17,,negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,,,ISO,O60260 ,J:164563 
MGI:1355296,Prkn,parkin RBR E3 ubiquitin protein ligase,17,,regulation of cellular response to oxidative stress,,,IBA,PTN000188399 ,J:265628 
MGI:1355296,Prkn,parkin RBR E3 ubiquitin protein ligase,17,,regulation of cellular response to oxidative stress,,,ISO,O60260 ,J:164563 
MGI:1344375,Prkra,"protein kinase, interferon inducible double stranded RNA dependent activator",2,,cellular response to oxidative stress,,,IDA,,J:55431 
MGI:97769,Prnp,prion protein,2,,response to oxidative stress,,,IDA,,J:82408 
MGI:1919696,Prr5l,proline rich 5 like,2,,cellular response to oxidative stress,,,ISO,Q6MZQ0 ,J:164563 
MGI:97783,Psap,prosaposin,10,,negative regulation of hydrogen peroxide-induced cell death,,,IDA,,J:213894 
MGI:1202717,Psen1,presenilin 1,12,,response to oxidative stress,,,IGI,MGI:88059 ,J:106153 
MGI:1202717,Psen1,presenilin 1,12,,response to oxidative stress,,,IMP,MGI:1930937 ,J:54086 
MGI:2142116,Psip1,PC4 and SFRS1 interacting protein 1,4,,response to oxidative stress,,,IDA,,J:175119 
MGI:1194513,Psmb5,"proteasome (prosome, macropain) subunit, beta type 5",14,,response to oxidative stress,,,IDA,,J:91425 
MGI:97797,Ptgs1,prostaglandin-endoperoxide synthase 1,2,,response to oxidative stress,,,IEA,IPR010255 ,J:72247 
MGI:97798,Ptgs2,prostaglandin-endoperoxide synthase 2,1,,response to oxidative stress,,,IEA,IPR010255 ,J:72247 
MGI:104908,Ptk2b,PTK2 protein tyrosine kinase 2 beta,14,,response to hydrogen peroxide,,,ISO,RGD:628758 ,J:155856 
MGI:103310,Ptprk,"protein tyrosine phosphatase, receptor type, K",10,,cellular response to reactive oxygen species,,,ISO,Q15262 ,J:164563 
MGI:102765,Ptprn,"protein tyrosine phosphatase, receptor type, N",1,,response to reactive oxygen species,,,ISO,Q16849 ,J:164563 
MGI:1916925,Pxdn,peroxidasin,12,,response to oxidative stress,,,IEA,IPR010255 ,J:72247 
MGI:2384795,Pycr1,pyrroline-5-carboxylate reductase 1,11,,cellular response to oxidative stress,,,ISO,P32322 ,J:164563 
MGI:2384795,Pycr1,pyrroline-5-carboxylate reductase 1,11,,negative regulation of hydrogen peroxide-induced cell death,,,ISO,P32322 ,J:164563 
MGI:1277956,Pycr2,"pyrroline-5-carboxylate reductase family, member 2",1,,cellular response to oxidative stress,,,ISO,Q96C36 ,J:164563 
MGI:2676395,Pyroxd1,pyridine nucleotide-disulphide oxidoreductase domain 1,6,,cellular response to oxidative stress,,,ISO,Q8WU10 ,J:164563 
MGI:101849,Rack1,receptor for activated C kinase 1,11,,negative regulation of hydrogen peroxide-induced neuron death,happens in neuron of cerebral cortex,,IGI,Q99497 ,J:211328 
MGI:101849,Rack1,receptor for activated C kinase 1,11,,negative regulation of hydrogen peroxide-induced neuron death,,,ISO,P63244 ,J:164563 
MGI:101949,Rad52,"RAD52 homolog, DNA repair protein",6,,cellular response to oxidative stress,,,IDA,,J:151534 
MGI:101949,Rad52,"RAD52 homolog, DNA repair protein",6,,cellular response to oxidative stress,,,ISO,P43351 ,J:151534 
MGI:108466,Ralbp1,ralA binding protein 1,17,,positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,,,ISO,RGD:621134 ,J:155856 
MGI:2447622,Rbm11,RNA binding motif protein 11,16,,cellular response to oxidative stress,,,ISO,P57052 ,J:197742 
MGI:1334446,Rbpms,RNA binding protein gene with multiple splicing,8,,response to oxidative stress,,,ISO,Q93062 ,J:164563 
MGI:1890564,Rcan1,regulator of calcineurin 1,16,,response to oxidative stress,happens in skeletal muscle tissue,,IGI,MGI:1858219 ,J:109586 
MGI:1858219,Rcan2,regulator of calcineurin 2,17,,response to oxidative stress,happens in skeletal muscle tissue,,IGI,MGI:1890564 ,J:109586 
MGI:97478,Reg3b,regenerating islet-derived 3 beta,6,,negative regulation of hydrogen peroxide-induced neuron death,,,ISO,RGD:3254 ,J:155856 
MGI:103290,Rela,v-rel reticuloendotheliosis viral oncogene homolog A (avian),19,,cellular response to hydrogen peroxide,,,ISO,Q04206 ,J:164563 
MGI:104897,Rest,RE1-silencing transcription factor,5,,negative regulation of oxidative stress-induced neuron death,,,ISO,Q13127 ,J:164563 
MGI:104897,Rest,RE1-silencing transcription factor,5,,positive regulation of oxidative stress-induced neuron death,,,ISO,RGD:621069 ,J:155856 
MGI:104897,Rest,RE1-silencing transcription factor,5,,regulation of oxidative stress-induced neuron death,,,ISO,RGD:621069 ,J:155856 
MGI:108024,Rgn,regucalcin,X,,positive regulation of superoxide dismutase activity,,,ISO,RGD:3560 ,J:155856 
MGI:1859709,Rgs14,regulator of G-protein signaling 14,13,,response to oxidative stress,,,ISO,RGD:620003 ,J:155856 
MGI:107949,Rhob,ras homolog family member B,12,,cellular response to hydrogen peroxide,,,ISO,P62745 ,J:164563 
MGI:108212,Ripk1,receptor (TNFRSF)-interacting serine-threonine kinase 1,13,,cellular response to hydrogen peroxide,"happens in cardiac muscle cell,is a part of cellular response to hydrogen peroxide",,IMP,,J:259866 
MGI:108212,Ripk1,receptor (TNFRSF)-interacting serine-threonine kinase 1,13,,positive regulation of hydrogen peroxide-induced cell death,,,ISO,Q13546 ,J:164563 
MGI:2154952,Ripk3,receptor-interacting serine-threonine kinase 3,14,,cellular response to hydrogen peroxide,"happens in cardiac muscle cell,is a part of cellular response to hydrogen peroxide",,IMP,,J:259866 
MGI:1337096,Rnf7,ring finger protein 7,9,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,IDA,,J:53898 
MGI:106611,Rnf112,ring finger protein 112,11,,cell death in response to hydrogen peroxide,,,IMP,,J:261054 
MGI:106611,Rnf112,ring finger protein 112,11,,cell death in response to oxidative stress,,,IMP,,J:261059 
MGI:106611,Rnf112,ring finger protein 112,11,,response to hydroperoxide,,,IDA,,J:261059 
MGI:1915281,Rnf146,ring finger protein 146,10,,negative regulation of hydrogen peroxide-induced cell death,,,ISO,RGD:1306482 ,J:155856 
MGI:1914317,Romo1,reactive oxygen species modulator 1,2,,cellular response to reactive oxygen species,,,ISO,P60602 ,J:164563 
MGI:1350917,Rps3,ribosomal protein S3,7,,cellular response to hydrogen peroxide,,,ISO,P23396 ,J:164563 
MGI:1350917,Rps3,ribosomal protein S3,7,,cellular response to reactive oxygen species,,,ISO,P23396 ,J:164563 
MGI:2155865,Rrm2b,ribonucleotide reductase M2 B (TP53 inducible),15,,response to oxidative stress,,,IMP,MGI:2672883 ,J:84841 
MGI:1913771,Rwdd1,RWD domain containing 1,10,,cellular response to oxidative stress,,,IDA,,J:240274 
MGI:1355310,Scly,selenocysteine lyase,1,,negative regulation of cellular response to oxidative stress,happens in liver,,IMP,MGI:4362224 ,J:189255 
MGI:1931466,Selenok,selenoprotein K,14,,response to oxidative stress,,,ISO,Q9Y6D0 ,J:164563 
MGI:2151208,Selenon,selenoprotein N,4,,cellular response to oxidative stress,,,IGI,MGI:1354385 MGI:88110 ,J:219362 
MGI:2151208,Selenon,selenoprotein N,4,,cellular response to oxidative stress,,,IMP,,J:197753 
MGI:2151208,Selenon,selenoprotein N,4,,positive regulation of response to oxidative stress,,,ISO,Q9NZV5 ,J:164563 
MGI:95994,Selenos,selenoprotein S,7,,cellular response to oxidative stress,,,ISO,Q9BQE4 ,J:164563 
MGI:2155278,Sesn1,sestrin 1,10,,regulation of response to reactive oxygen species,,,IEA,IPR006730 ,J:72247 
MGI:2651874,Sesn2,sestrin 2,4,,cellular response to oxidative stress,,,IMP,,J:195093 
MGI:2651874,Sesn2,sestrin 2,4,,positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,ISO,P58004 ,J:164563 
MGI:2651874,Sesn2,sestrin 2,4,,regulation of response to reactive oxygen species,,,IEA,IPR006730 ,J:72247 
MGI:1922997,Sesn3,sestrin 3,9,,regulation of response to reactive oxygen species,,,IEA,IPR006730 ,J:72247 
MGI:2443480,Setx,senataxin,2,,cellular response to hydrogen peroxide,,,ISO,Q7Z333 ,J:164563 
MGI:2443480,Setx,senataxin,2,,cellular response to oxidative stress,,,ISO,Q7Z333 ,J:164563 
MGI:1918764,Sfpq,splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated),4,,positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,ISO,P23246 ,J:164563 
MGI:1195268,Sigmar1,sigma non-opioid intracellular receptor 1,4,,cell death in response to hydrogen peroxide,,,IMP,,J:261054 
MGI:107157,Sin3a,"transcriptional regulator, SIN3A (yeast)",9,,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,ISO,RGD:1311598 ,J:155856 
MGI:108563,Sirpa,signal-regulatory protein alpha,2,,cellular response to hydrogen peroxide,,,ISO,RGD:3449 ,J:155856 
MGI:2135607,Sirt1,sirtuin 1,10,,cellular response to hydrogen peroxide,,,ISO,Q96EB6 ,J:164563 
MGI:2135607,Sirt1,sirtuin 1,10,,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,ISO,Q96EB6 ,J:164563 
MGI:2135607,Sirt1,sirtuin 1,10,,response to hydrogen peroxide,,,ISO,Q96EB6 ,J:164563 
MGI:2135607,Sirt1,sirtuin 1,10,,response to oxidative stress,,,ISO,Q96EB6 ,J:164563 
MGI:1927664,Sirt2,sirtuin 2,7,,cellular response to oxidative stress,,,IDA,,J:210910 
MGI:1927665,Sirt3,sirtuin 3,7,,positive regulation of superoxide dismutase activity,,,ISO,Q9NTG7 ,J:164563 
MGI:105083,Slc1a1,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1",19,,neuron death in response to oxidative stress,happens in hippocampal formation,,IMP,,J:285023 
MGI:109393,Slc4a1,"solute carrier family 4 (anion exchanger), member 1",11,,response to hydrogen peroxide,,,ISO,RGD:3710 ,J:155856 
MGI:1347355,Slc7a11,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11",3,,cellular response to oxidative stress,,,IMP,MGI:3608695 ,J:193772 
MGI:1347355,Slc7a11,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11",3,,negative regulation of oxidative stress-induced neuron death,,,IDA,,J:113249 
MGI:1347355,Slc7a11,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11",3,,negative regulation of oxidative stress-induced neuron death,,,IMP,MGI:1857061 ,J:113249 
MGI:1347355,Slc7a11,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11",3,,regulation of cellular response to oxidative stress,,,IMP,MGI:1857061 ,J:100476 
MGI:107956,Slc8a1,"solute carrier family 8 (sodium/calcium exchanger), member 1",17,,cellular response to reactive oxygen species,,,ISO,RGD:3717 ,J:155856 
MGI:107956,Slc8a1,"solute carrier family 8 (sodium/calcium exchanger), member 1",17,,cellular response to reactive oxygen species,,,ISO,P32418 ,J:164563 
MGI:1345279,Slc11a2,"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2",15,,cellular response to oxidative stress,,,ISO,P49281 ,J:164563 
MGI:1917160,Slc25a24,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24",3,,cellular response to oxidative stress,,,ISO,Q6NUK1 ,J:164563 
MGI:1927578,Smpd3,"sphingomyelin phosphodiesterase 3, neutral",8,,cellular response to hydrogen peroxide,,,IDA,,J:202378 
MGI:1927578,Smpd3,"sphingomyelin phosphodiesterase 3, neutral",8,,cellular response to reactive oxygen species,,,IMP,,J:122383 
MGI:1277151,Snca,"synuclein, alpha",6,,cellular response to oxidative stress,,,IMP,MGI:1888382 ,J:106226 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,ISO,P00441 ,J:164563 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,removal of superoxide radicals,,,IBA,PTN000000113 ,J:265628 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,removal of superoxide radicals,,,IGI,MGI:95480 ,J:71134 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,removal of superoxide radicals,,,IMP,MGI:1857872 ,J:33472 J:56971 J:59502 J:71134 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,removal of superoxide radicals,,,IMP,MGI:1857873 ,J:109001 J:121616 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,removal of superoxide radicals,has the participant heart,,IMP,MGI:2387861 ,J:60470 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,removal of superoxide radicals,,,IMP,MGI:3526701 ,J:46672 J:51141 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,removal of superoxide radicals,,,ISO,RGD:3731 ,J:155856 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,removal of superoxide radicals,,,TAS,,J:72446 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,response to hydrogen peroxide,has the participant lens,,IMP,MGI:1857873 ,J:115465 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,response to oxidative stress,,,IDA,,J:79147 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,response to oxidative stress,,,IMP,MGI:1857873 ,J:118550 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,response to oxidative stress,,,IMP,MGI:2680903 ,J:108756 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,response to oxidative stress,,,ISO,RGD:3731 ,J:155856 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,response to reactive oxygen species,,,IMP,MGI:1857873 ,J:118550 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,response to superoxide,,,IMP,MGI:2680903 ,J:104300 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,response to superoxide,,,IMP,MGI:3526701 ,J:46672 J:51141 
MGI:98351,Sod1,"superoxide dismutase 1, soluble",16,,response to superoxide,,,ISO,P00441 ,J:164563 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,age-dependent response to oxidative stress,,,IMP,MGI:1857344 ,J:67874 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,age-dependent response to reactive oxygen species,,,ISO,P04179 ,J:164563 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,IMP,MGI:1857480 ,J:115465 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,ISO,P04179 ,J:164563 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,removal of superoxide radicals,,,IBA,A0A1D8PQH5 MGI:98352 P04179 P09233 P9WGE7 PTN000150074 RGD:3732 S000001050 SPAC1486.01 ,J:265628 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,removal of superoxide radicals,,,IMP,MGI:1857129 MGI:1857480 ,J:128050 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,removal of superoxide radicals,,,ISO,RGD:3732 ,J:155856 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,removal of superoxide radicals,,,ISO,P04179 ,J:164563 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,response to hydrogen peroxide,has the participant lens epithelium,,IMP,MGI:1857480 ,J:115465 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,response to oxidative stress,,,IGI,MGI:107207 ,J:152626 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,response to oxidative stress,,,IGI,MGI:109169 ,J:121138 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,response to oxidative stress,,,IGI,MGI:104887 MGI:98352 ,J:90710 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,response to oxidative stress,,,IMP,MGI:1857344 ,J:90710 J:152626 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,response to reactive oxygen species,,,IMP,,J:102322 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,response to reactive oxygen species,,,IMP,MGI:1857344 ,J:45913 J:52592 J:93763 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,response to reactive oxygen species,"happens in skeletal musculature,happens in skeletal muscle myoblast",,IMP,MGI:1857344 ,J:116698 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,response to superoxide,,,IMP,MGI:1857344 ,J:67568 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,response to superoxide,,,IMP,MGI:1857480 ,J:115465 
MGI:98352,Sod2,"superoxide dismutase 2, mitochondrial",17,,response to superoxide,,,ISO,P04179 ,J:164563 
MGI:103181,Sod3,"superoxide dismutase 3, extracellular",5,,removal of superoxide radicals,,,IBA,PTN000000113 ,J:265628 
MGI:98372,Sp1,trans-acting transcription factor 1,15,,response to hydroperoxide,,,IDA,,J:261059 
MGI:1316649,Sphk1,sphingosine kinase 1,11,,cellular response to hydrogen peroxide,,,IDA,,J:202378 
MGI:98397,Src,Rous sarcoma oncogene,2,,cellular response to hydrogen peroxide,,,IMP,,J:202378 
MGI:98397,Src,Rous sarcoma oncogene,2,,cellular response to reactive oxygen species,,,IDA,,J:207686 
MGI:104971,Srxn1,sulfiredoxin 1 homolog (S. cerevisiae),2,,cellular response to oxidative stress,,,IBA,PTN000482398 ,J:265628 
MGI:104971,Srxn1,sulfiredoxin 1 homolog (S. cerevisiae),2,,response to oxidative stress,,,IDA,,J:95202 
MGI:104971,Srxn1,sulfiredoxin 1 homolog (S. cerevisiae),2,,response to oxidative stress,,,ISO,Q9BYN0 ,J:164563 
